id,country_id,country_code,country_name,region_id,region_name,income_group_id,income_group_name,income_group_acronym,implementing_agency_id,implementing_agency_acronym,implementing_agency_name,implementing_subagency_id,subagency_acronym,subagency_name,channel_category_id,channel_category_name,channel_subcategory_name,channel_subcategory_id,channel_id,channel_name,dac_category_id,dac_category_name,dac_sector_code,dac_sector_name,dac_purpose_code,dac_purpose_name,funding_account_id,funding_account_name,assistance_category_id,assistance_category_name,activity_id,activity_name,activity_project_number,activity_start_date,activity_end_date,transaction_type_id,transaction_type_name,fiscal_year,current_amount,constant_amount,funding_agency_id,funding_agency_name,funding_agency_acronym,aid_type_group_id,aid_type_group_name,activity_description,USG_sector_id,USG_sector_name,submission_id
14058540,818,EGY,Egypt,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000046,Government of Egypt,5,Economic Growth,331,Trade Policy and Regulations,33110,Trade policy and administrative management,72x1037,Economic Support Fund,1,Economic,612281,ENVIRONMENT FOR TRADE AND INVESTMENT STRENGTHENED,263-016,,,2,Obligations,2002,359892478,471761852,1,U.S. Agency for International Development,USAID,3,Project-Type,Environment for Trade and Investment Strengthened,26,Trade and Investment,76
14058562,818,EGY,Egypt,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000046,Government of Egypt,5,Economic Growth,331,Trade Policy and Regulations,33110,Trade policy and administrative management,72x1037,Economic Support Fund,1,Economic,612281,ENVIRONMENT FOR TRADE AND INVESTMENT STRENGTHENED,263-016,,,2,Obligations,2004,300000000,376550322,1,U.S. Agency for International Development,USAID,3,Project-Type,Environment for Trade and Investment Strengthened,26,Trade and Investment,76
14058577,818,EGY,Egypt,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000046,Government of Egypt,5,Economic Growth,240,Banking and Financial Services,24010,Financial policy and administrative management,72x1037,Economic Support Fund,1,Economic,641382,Cash Transfer,263-IL-19-K-644.00-A066,2007-01-11 00:00:00 UTC,2009-09-30 00:00:00 UTC,2,Obligations,2007,275000000,315551425,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,27,Financial Sector,76
14058626,818,EGY,Egypt,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000046,Government of Egypt,5,Economic Growth,331,Trade Policy and Regulations,33110,Trade policy and administrative management,72x1037,Economic Support Fund,1,Economic,612281,ENVIRONMENT FOR TRADE AND INVESTMENT STRENGTHENED,263-016,,,2,Obligations,2005,200060000,243463664,1,U.S. Agency for International Development,USAID,3,Project-Type,Environment for Trade and Investment Strengthened,26,Trade and Investment,76
14058632,818,EGY,Egypt,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,37,ANE,Bureau for Asia and Near East,1,Government,Government - Non United States,2,2000046,Government of Egypt,8,Commodity Assistance,530,Other Commodity Assistance,53040,Import support (commodities),72x1037,Economic Support Fund,1,Economic,617904,Private Sector (CIP),263-016,,,2,Obligations,2001,200000000,266410933,1,U.S. Agency for International Development,USAID,3,Project-Type,Commodity Import Program,25,Macroeconomic Foundation for Growth,76
14058655,818,EGY,Egypt,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000046,Government of Egypt,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,657256,Cash Transfer,263-PA-263-13-651,,,2,Obligations,2013,190000000,198093451,1,U.S. Agency for International Development,USAID,1,Budget support,"This cash transfer program is designed to respond to Egypts near-term fiscal needs, by helping the country address its post-revolution financing gap and alleviate budget pressures that could precipitate an economic crisis.",25,Macroeconomic Foundation for Growth,76
14058677,818,EGY,Egypt,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000046,Government of Egypt,5,Economic Growth,240,Banking and Financial Services,24010,Financial policy and administrative management,72x1037,Economic Support Fund,1,Economic,646849,Financial Sector Enabling Environment,4.3.1,,,2,Obligations,2009,170227026,189156272,1,U.S. Agency for International Development,USAID,3,Project-Type,"Support the establishment of expert regulators and professional bodies that constantly improve laws, regulations, standards, and administrative practices that shape the sector.",27,Financial Sector,76
14058714,818,EGY,Egypt,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,37,ANE,Bureau for Asia and Near East,1,Government,Government - Non United States,2,2000046,Government of Egypt,5,Economic Growth,331,Trade Policy and Regulations,33110,Trade policy and administrative management,72x1037,Economic Support Fund,1,Economic,612281,ENVIRONMENT FOR TRADE AND INVESTMENT STRENGTHENED,263-016,,,2,Obligations,2001,149686732,199390909,1,U.S. Agency for International Development,USAID,3,Project-Type,Environment for Trade and Investment Strengthened,26,Trade and Investment,76
14058733,818,EGY,Egypt,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000046,Government of Egypt,5,Economic Growth,331,Trade Policy and Regulations,33110,Trade policy and administrative management,72x1037,Economic Support Fund,1,Economic,612281,ENVIRONMENT FOR TRADE AND INVESTMENT STRENGTHENED,263-016,,,2,Obligations,2003,132200639,170044392,1,U.S. Agency for International Development,USAID,3,Project-Type,Environment for Trade and Investment Strengthened,26,Trade and Investment,76
14058770,818,EGY,Egypt,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000046,Government of Egypt,5,Economic Growth,240,Banking and Financial Services,24010,Financial policy and administrative management,72x1037,Economic Support Fund,1,Economic,646369,Cash Transfer,263-PA-263-09,,,2,Obligations,2009,116100000,129010320,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,27,Financial Sector,76
