Date,Description
1917,"The Ottomans - who had conquered the eastern Mediterranean in 1516 - sided with Germany during the first world war. Britain supported an Arab revolt against the Ottomans, promising self rule. The British also promised the Jews a homeland in Palestine – the then foreign secretary, Lord Balfour, issuing a declaration in 1917."
1918,"The Arabs took over Syria, led by Prince Faysal ibn Huseyn of the Arabian Hashemite dynasty. After the war, the League of Nations granted France and Britain control (‘mandates’) over the former Ottoman territories. France was given Syria, while Britain got a mandate over what became Israel, the West Bank, Gaza and Jordan."
1921,The British divided their mandate in two. East of the river Jordan became the emirate of Transjordan and was ruled by Faysal’s brother Abdullah. West of the Jordan became the Palestine mandate and remained under British control.
1930,"Jewish immigration to what was now the Palestine mandate from Europe, which had been going on since the 1880s, increased just before the second world war due to persecution by the Nazis. The local Arabs wanted to limit the numbers arriving. There were clashes between the Jewish immigrants and Palestinians supported by neighbouring Arab states."
1949,"Britain gave up its mandate and the United Nations took over supervision. The UN suggested two states: one Arab, one Jewish. The Jews accepted; the Arabs rejected the plan. David Ben-Gurion declared the foundation of the state of Israel on 15 May 1948. Egypt, Syria, Lebanon and Jordan invaded but were beaten back. The 1949 armistice extended the area the UN had proposed for the Jews.Pictured, barbed wire covers Princess Mary Avenue in Jerusalem"
1956,"Gamal Abdel Nasser came to power in Egypt. He integrated the armies of Egypt and Syria and nationalised the European-owned Suez canal. Israel joined with Britain and France, and on 29 October 1956, invaded the Sinai peninsular in Egypt. International pressure forced the Israelis to give up Sinai and the UK and France to remove their troops from the Suez canal."
1964,The Palestinian Liberation Organisation was founded. Under the chairmanship of Yasser Arafat it would claim after the debacle of the six day war to be the sole representative of the Palestinian people. It vowed to reclaim their land and destroy the state of Israel. 
1967,"Hostilities between Israel and its neighbours continued and both sides built up their military strength. On 5 June 1967, Israel launched a 'pre-emptive strike' against the Arab troops along its borders. In the six-day war, Israel seized the Sinai from Egypt, the Golan Heights from Syria, the West Bank and the Old City of Jerusalem from Jordan. Talks have centered around the return to pre-1967 borders ever since."
1973,"On 6 October, Syria and Egypt launched a surprise attack on Israeli-held lands to coincide with the Jewish holy day of Yom Kippur. After initial losses, the Israelis regained nearly all the territory they occupied during the six-day war."
1979,"The US combined diplomacy with financial muscle to soften relations between Egypt and Israel. In 1979, the Egyptian president, Anwar Sadat, signed a mutual recognition pact with Israel and Sinai was returned to Egypt"
