fiscal_year,category,current_amount
1951,Economic,100000
1951,Military,0
1951,Total,100000
1952,Economic,86400000
1952,Military,0
1952,Total,86400000
1953,Economic,73601000
1953,Military,0
1953,Total,73601000
1954,Economic,74700000
1954,Military,0
1954,Total,74700000
1955,Economic,52700000
1955,Military,0
1955,Total,52700000
1956,Economic,50800000
1956,Military,0
1956,Total,50800000
1957,Economic,40900000
1957,Military,0
1957,Total,40900000
1958,Economic,61200000
1958,Military,0
1958,Total,61200000
1959,Economic,49900000
1959,Military,400000
1959,Total,50300000
1960,Economic,55200000
1960,Military,500000
1960,Total,55700000
1961,Economic,48100000
1961,Military,1000
1961,Total,48101000
1962,Economic,70700000
1962,Military,13200000
1962,Total,83900000
1963,Economic,63400000
1963,Military,13300000
1963,Total,76700000
1964,Economic,37000000
1964,Total,37000000
1965,Economic,48800000
1965,Military,12900000
1965,Total,61700000
1966,Economic,36800000
1966,Military,90000000
1966,Total,126800000
1967,Economic,6100000
1967,Military,7000000
1967,Total,13100000
1968,Economic,51800000
1968,Military,25000000
1968,Total,76800000
1969,Economic,36700000
1969,Military,85000000
1969,Total,121700000
1970,Economic,41100000
1970,Military,30000000
1970,Total,71100000
1971,Economic,55800000
1971,Military,545000000
1971,Total,600800000
1972,Economic,104200000
1972,Military,300000000
1972,Total,404200000
1973,Economic,109800000
1973,Military,300000000
1973,Total,409800000
1974,Economic,51500000
1974,Military,2482664000
1974,Total,2534164000
1975,Economic,353100000
1975,Military,300000000
1975,Total,653100000
1976,Economic,793001000
1976,Military,1900000000
1976,Total,2693001000
1977,Economic,742000000
1977,Military,1000000000
1977,Total,1742000000
1978,Economic,791800000
1978,Military,1000000000
1978,Total,1791800000
1979,Economic,790100000
1979,Military,4000000000
1979,Total,4790100000
1980,Economic,785950000
1980,Military,1000000000
1980,Total,1785950000
1981,Economic,764000000
1981,Military,1400000000
1981,Total,2164000000
1982,Economic,806000000
1982,Military,1400000000
1982,Total,2206000000
1983,Economic,785000000
1983,Military,1700000000
1983,Total,2485000000
1984,Economic,910000000
1984,Military,1700000000
1984,Total,2610000000
1985,Economic,1950050000
1985,Military,1400000000
1985,Total,3350050000
1986,Economic,1898400000
1986,Military,1722600000
1986,Total,3621000000
1987,Economic,1200000000
1987,Military,1800000000
1987,Total,3000000000
1988,Economic,1200000000
1988,Military,1800000000
1988,Total,3000000000
1989,Economic,1200000000
1989,Military,1800000000
1989,Total,3000000000
1990,Economic,1194840000
1990,Military,1865034000
1990,Total,3059874000
1991,Economic,1850000000
1991,Military,1842116000
1991,Total,3692116000
1992,Economic,1210000000
1992,Military,1865260000
1992,Total,3075260000
1993,Economic,1200000000
1993,Military,2114187408
1993,Total,3314187408
1994,Economic,1200000000
1994,Military,1802820785
1994,Total,3002820785
1995,Economic,1205000000
1995,Military,1805035064
1995,Total,3010035064
1996,Economic,1330000000
1996,Military,1810593426
1996,Total,3140593426
1997,Economic,1370000000
1997,Military,1803490798
1997,Total,3173490798
1998,Economic,1280000000
1998,Military,1801586763
1998,Total,3081586763
1999,Economic,1150000000
1999,Military,1880417863
1999,Total,3030417863
2000,Economic,1022056000
2000,Military,2841339744
2000,Total,3863395744
2001,Economic,850443812
2001,Military,1988992824
2001,Total,2839436636
2002,Economic,726676131
2002,Military,2061154704
2002,Total,2787830835
2003,Economic,657006823
2003,Military,3088558644
2003,Total,3745565467
2004,Economic,556808481
2004,Military,2165497876
2004,Total,2722306357
2005,Economic,482064512
2005,Military,2231389691
2005,Total,2713454203
2006,Economic,285754292
2006,Military,2257824872
2006,Total,2543579164
2007,Economic,168027020
2007,Military,2341748453
2007,Total,2509775473
2008,Economic,44303292
2008,Military,2381186886
2008,Total,2425490178
2009,Economic,40302958
2009,Military,2382991263
2009,Total,2423294221
2010,Economic,36284281
2010,Military,2801298401
2010,Total,2837582682
2011,Economic,37055291
2011,Military,3009467833
2011,Total,3046523124
2012,Economic,25059524
2012,Military,3176571985
2012,Total,3201631509
2013,Economic,17539321
2013,Military,2986445391
2013,Total,3003984712
2014,Economic,23404710
2014,Military,3103177216
2014,Total,3126581926
2015,Economic,13037123
2015,Military,3282033268
2015,Total,3295070391
2016,Economic,13310210
2016,Military,3100000000
2016,Total,3113310210
