fiscal_year,current_amount
1951,100000
1952,86400000
1953,73601000
1954,74700000
1955,52700000
1956,50800000
1957,40900000
1958,61200000
1959,50300000
1960,55700000
1961,48101000
1962,83900000
1963,76700000
1964,37000000
1965,61700000
1966,126800000
1967,13100000
1968,76800000
1969,121700000
1970,71100000
1971,600800000
1972,404200000
1973,409800000
1974,2534164000
1975,653100000
1976,2693001000
1977,1742000000
1978,1791800000
1979,4790100000
1980,1785950000
1981,2164000000
1982,2206000000
1983,2485000000
1984,2610000000
1985,3350050000
1986,3621000000
1987,3000000000
1988,3000000000
1989,3000000000
1990,3059874000
1991,3692116000
1992,3075260000
1993,3314187408
1994,3002820785
1995,3010035064
1996,3140593426
1997,3173490798
1998,3081586763
1999,3030417863
2000,3863395744
2001,2839436636
2002,2787830835
2003,3745565467
2004,2722306357
2005,2713454203
2006,2543579164
2007,2509775473
2008,2425490178
2009,2423294221
2010,2837582682
2011,3046523124
2012,3201631509
2013,3003984712
2014,3126581926
2015,3295070391
2016,3113310210
2017,4896129
