id,country_id,country_code,country_name,region_id,region_name,income_group_id,income_group_name,income_group_acronym,implementing_agency_id,implementing_agency_acronym,implementing_agency_name,implementing_subagency_id,subagency_acronym,subagency_name,channel_category_id,channel_category_name,channel_subcategory_name,channel_subcategory_id,channel_id,channel_name,dac_category_id,dac_category_name,dac_sector_code,dac_sector_name,dac_purpose_code,dac_purpose_name,funding_account_id,funding_account_name,assistance_category_id,assistance_category_name,activity_id,activity_name,activity_project_number,activity_start_date,activity_end_date,transaction_type_id,transaction_type_name,fiscal_year,current_amount,constant_amount,funding_agency_id,funding_agency_name,funding_agency_acronym,aid_type_group_id,aid_type_group_name,activity_description,USG_sector_id,USG_sector_name,submission_id
14058490,376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,1,USAID,U.S. Agency for International Development,37,ANE,Bureau for Asia and Near East,1,Government,Government - Non United States,2,2000070,Government of Israel,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,610789,Cash Transfer 2000,271-001,,,2,Obligations,2001,838152000,1116464280,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer 2000,8,Good Governance,76
14058494,376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000070,Government of Israel,5,Economic Growth,240,Banking and Financial Services,24010,Financial policy and administrative management,72x1037,Economic Support Fund,1,Economic,619339,SUPPORT POLICY REFORM FOR FINANCIAL STABILITY,271-001,,,2,Obligations,2002,720000000,943805592,1,U.S. Agency for International Development,USAID,3,Project-Type,Support Policy Reform for Financial Stability,27,Financial Sector,76
14058505,376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000070,Government of Israel,5,Economic Growth,240,Banking and Financial Services,24010,Financial policy and administrative management,72x1037,Economic Support Fund,1,Economic,619339,SUPPORT POLICY REFORM FOR FINANCIAL STABILITY,271-001,,,2,Obligations,2003,596100000,766739576,1,U.S. Agency for International Development,USAID,3,Project-Type,Support Policy Reform for Financial Stability,27,Financial Sector,76
14058516,376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000070,Government of Israel,5,Economic Growth,240,Banking and Financial Services,24010,Financial policy and administrative management,72x1037,Economic Support Fund,1,Economic,619339,SUPPORT POLICY REFORM FOR FINANCIAL STABILITY,271-001,,,2,Obligations,2004,477168000,598925880,1,U.S. Agency for International Development,USAID,3,Project-Type,Support Policy Reform for Financial Stability,27,Financial Sector,76
14058544,376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000070,Government of Israel,5,Economic Growth,240,Banking and Financial Services,24010,Financial policy and administrative management,72x1037,Economic Support Fund,1,Economic,619339,SUPPORT POLICY REFORM FOR FINANCIAL STABILITY,271-001,,,2,Obligations,2005,357120000,434598340,1,U.S. Agency for International Development,USAID,3,Project-Type,Support Policy Reform for Financial Stability,27,Financial Sector,76
14058605,376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000070,Government of Israel,5,Economic Growth,240,Banking and Financial Services,24010,Financial policy and administrative management,72x1037,Economic Support Fund,1,Economic,619339,SUPPORT POLICY REFORM FOR FINANCIAL STABILITY,271-001,,,2,Obligations,2006,240000000,282868053,1,U.S. Agency for International Development,USAID,3,Project-Type,Support Policy Reform for Financial Stability,27,Financial Sector,76
14058759,376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000070,Government of Israel,5,Economic Growth,331,Trade Policy and Regulations,33110,Trade policy and administrative management,72x1037,Economic Support Fund,1,Economic,645323,Trade and Investment,4.2,,,2,Obligations,2007,120000000,137695167,1,U.S. Agency for International Development,USAID,3,Project-Type,"The institution of international agreements and trade facilitation techniques allows countries to exchange goods and services and make financial investments without fear of loss. This is done through supporting public and private sector efforts to participate effectively in international trade and investment agreements and institutions, implement international agreements, adjust to changing trade conditions, and take full advantage of trade and investment to generate economic growth and reduce poverty.",26,Trade and Investment,76
14059252,376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,8,Enterprises,Enterprises - United States,19,4000669,"Chemonics International, Inc.",5,Economic Growth,240,Banking and Financial Services,24010,Financial policy and administrative management,72x1037,Economic Support Fund,1,Economic,636355,SUPPORT POLICY REFORM FOR FINANCIAL STABILITY,271-001,,,2,Obligations,2005,50000000,60847662,1,U.S. Agency for International Development,USAID,3,Project-Type,Support Policy Reform for Financial Stability,27,Financial Sector,76
14085301,376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,1,USAID,U.S. Agency for International Development,83,G,Global Bureau (Historic),1,Government,Government - Non United States,2,2000070,Government of Israel,5,Economic Growth,321,Industry,32182,Technological research and development,72x1021,"Agency for International Development, Development Assistance",1,Economic,615458,Incr. Sci/Tech. Coop Among Middle Eastern + Dev. Countries,933-007,,,2,Obligations,2001,3000000,3996164,1,U.S. Agency for International Development,USAID,3,Project-Type,"Increased science and technology cooperation among Middle Eastern and developing countries, and utilization of U.S. and Israeli technical expertise by",30,Private Sector Competitiveness,76
14097280,376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,1,USAID,U.S. Agency for International Development,22,EGAT,"Bureau for Economic Growth, Agriculture and Trade",1,Government,Government - United States,1,1000004,U.S. Government - Department of State,5,Economic Growth,321,Industry,32182,Technological research and development,72x1037,Economic Support Fund,1,Economic,615452,Incr. Sci/Tech. Coop Among Middle Eastern + Dev. Countries,933-007,,,2,Obligations,2002,2144463,2811050,1,U.S. Agency for International Development,USAID,3,Project-Type,"Increased science and technology cooperation among Middle Eastern and developing countries, and utilization of U.S. and Israeli technical expertise by",30,Private Sector Competitiveness,76
