id,country_id,country_code,country_name,region_id,region_name,income_group_id,income_group_name,income_group_acronym,implementing_agency_id,implementing_agency_acronym,implementing_agency_name,implementing_subagency_id,subagency_acronym,subagency_name,channel_category_id,channel_category_name,channel_subcategory_name,channel_subcategory_id,channel_id,channel_name,dac_category_id,dac_category_name,dac_sector_code,dac_sector_name,dac_purpose_code,dac_purpose_name,funding_account_id,funding_account_name,assistance_category_id,assistance_category_name,activity_id,activity_name,activity_project_number,activity_start_date,activity_end_date,transaction_type_id,transaction_type_name,fiscal_year,current_amount,constant_amount,funding_agency_id,funding_agency_name,funding_agency_acronym,aid_type_group_id,aid_type_group_name,activity_description,USG_sector_id,USG_sector_name,submission_id
14058498,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,9,Humanitarian,720,Emergency Response,72010,Material relief assistance and services,72x1037,Economic Support Fund,1,Economic,627235,Emergency Assistance to Jordan,278-007,,,2,Obligations,2003,700000000,900381989,1,U.S. Agency for International Development,USAID,3,Project-Type,Emergency Assistance to Jordan,37,"Protection, Assistance and Solutions",76
14058518,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,3,Governance,151,Government and Civil Society,15110,Public sector policy and administrative management,72x1037,Economic Support Fund,1,Economic,664139,Cash Transfer,278-CDCS-EDE/CT-00-A7-01,,,2,Obligations,2018,475000000,457184929,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,8,Good Governance,76
14058527,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,3,Governance,151,Government and Civil Society,15110,Public sector policy and administrative management,72x1037,Economic Support Fund,1,Economic,662332,Cash Transfer,278-CDCS-EDE/CT-00-A6-01,,,2,Obligations,2017,412000000,404572641,1,U.S. Agency for International Development,USAID,3,Project-Type,Cash Transfer,25,Macroeconomic Foundation for Growth,76
14058535,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,641383,Cash Transfer,278-PIL-278-EO/CT-11,2008-10-14 00:00:00 UTC,2009-09-30 00:00:00 UTC,2,Obligations,2013,384000000,400357290,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,25,Macroeconomic Foundation for Growth,76
14058556,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,641383,Cash Transfer,278-PIL-278-EO/CT-11,2008-10-14 00:00:00 UTC,2009-09-30 00:00:00 UTC,2,Obligations,2009,316000000,351139200,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,25,Macroeconomic Foundation for Growth,76
14058570,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,641383,Cash Transfer,278-PIL-278-EO/CT-11,2008-10-14 00:00:00 UTC,2009-09-30 00:00:00 UTC,2,Obligations,2012,284000000,301097987,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,25,Macroeconomic Foundation for Growth,76
14058582,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",7,Multilateral,Multilateral - United Nations,12,4000501,World Food Program,9,Humanitarian,720,Emergency Response,72040,Emergency food aid,72x1035,"Agency for International Development, International Disaster Assistance",1,Economic,656777,Title II - WFP Syrian Regional Response,AID-FFP-IO-12-00016,2012-06-28 00:00:00 UTC,2014-12-31 00:00:00 UTC,2,Obligations,2014,272500000,279003041,1,U.S. Agency for International Development,USAID,3,Project-Type,"WFP Syrian Regional Response (Jordan, Lebanon, Turkey and Iraq) Emergency Food Security Program (EFSP) Award",37,"Protection, Assistance and Solutions",76
14058591,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,658882,Cash Transfer,278-CDCS-EDE/CT-00-A4-01,,,2,Obligations,2015,252000000,255006284,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,25,Macroeconomic Foundation for Growth,76
14058601,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",7,Multilateral,Multilateral - United Nations,12,4000501,World Food Program,9,Humanitarian,720,Emergency Response,72040,Emergency food aid,72x1035,"Agency for International Development, International Disaster Assistance",1,Economic,656777,Title II - WFP Syrian Regional Response,AID-FFP-IO-12-00016,2012-06-28 00:00:00 UTC,2014-12-31 00:00:00 UTC,2,Obligations,2015,244100000,247012039,1,U.S. Agency for International Development,USAID,3,Project-Type,"WFP Syrian Regional Response (Jordan, Lebanon, Turkey and Iraq) Emergency Food Security Program (EFSP) Award",37,"Protection, Assistance and Solutions",76
14058612,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,660596,Cash Transfer,278-CDCS-EDE/CT-00-A5-01,,,2,Obligations,2016,231395798,231395798,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,25,Macroeconomic Foundation for Growth,76
14058617,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,621759,Cash Transfer,278-PIL-278-0005,2002-10-02 00:00:00 UTC,2003-01-26 00:00:00 UTC,2,Obligations,2003,219500000,282334066,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,24,Social Assistance,76
14058652,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,641383,Cash Transfer,278-PIL-278-EO/CT-11,2008-10-14 00:00:00 UTC,2009-09-30 00:00:00 UTC,2,Obligations,2011,194000000,209436316,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,25,Macroeconomic Foundation for Growth,76
14058659,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,629878,Cash Transfer,278-PIL-278-SPO-011,2005-07-20 00:00:00 UTC,2005-07-20 00:00:00 UTC,2,Obligations,2005,187500000,228178732,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,24,Social Assistance,76
14058667,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,658880,Cash Transfer,278-CDCS-EDE/CT-00-03,,,2,Obligations,2014,177000000,181223993,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,25,Macroeconomic Foundation for Growth,76
14058695,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,641383,Cash Transfer,278-PIL-278-EO/CT-11,2008-10-14 00:00:00 UTC,2009-09-30 00:00:00 UTC,2,Obligations,2010,159500000,175690325,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,25,Macroeconomic Foundation for Growth,76
14058725,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000072,Government of Jordan,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,629878,Cash Transfer,278-PIL-278-SPO-011,2005-07-20 00:00:00 UTC,2005-07-20 00:00:00 UTC,2,Obligations,2004,138000000,173213148,1,U.S. Agency for International Development,USAID,1,Budget support,Cash Transfer,24,Social Assistance,76
