id,country_id,country_code,country_name,region_id,region_name,income_group_id,income_group_name,income_group_acronym,implementing_agency_id,implementing_agency_acronym,implementing_agency_name,implementing_subagency_id,subagency_acronym,subagency_name,channel_category_id,channel_category_name,channel_subcategory_name,channel_subcategory_id,channel_id,channel_name,dac_category_id,dac_category_name,dac_sector_code,dac_sector_name,dac_purpose_code,dac_purpose_name,funding_account_id,funding_account_name,assistance_category_id,assistance_category_name,activity_id,activity_name,activity_project_number,activity_start_date,activity_end_date,transaction_type_id,transaction_type_name,fiscal_year,current_amount,constant_amount,funding_agency_id,funding_agency_name,funding_agency_acronym,aid_type_group_id,aid_type_group_name,activity_description,USG_sector_id,USG_sector_name,submission_id
14058750,422,LBN,Lebanon,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,7,Multilateral,Multilateral - World Bank Group,13,4003810,World Bank Group,3,Governance,151,Government and Civil Society,15111,Public finance management,72x1037,Economic Support Fund,1,Economic,642375,Fiscal policy,4.1.1,,,2,Obligations,2008,125000000,140515933,1,U.S. Agency for International Development,USAID,3,Project-Type,"Encourage and help countries to apply sustainable and efficient fiscal policies, which consist of establishing revenue and expenditure structures and develop management techniques that allow a government to manage the economy through the expansion and contraction of government spending. All support for fiscal policy should be decentralized to the appropriate level of government, and seek to eliminate the potential for corruption.",25,Macroeconomic Foundation for Growth,76
14059254,422,LBN,Lebanon,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,7,Multilateral,Multilateral - World Bank Group,13,4003810,World Bank Group,3,Governance,151,Government and Civil Society,15111,Public finance management,72x1037,Economic Support Fund,1,Economic,642375,Fiscal policy,4.1.1,,,2,Obligations,2009,50000000,55560000,1,U.S. Agency for International Development,USAID,3,Project-Type,"Encourage and help countries to apply sustainable and efficient fiscal policies, which consist of establishing revenue and expenditure structures and develop management techniques that allow a government to manage the economy through the expansion and contraction of government spending. All support for fiscal policy should be decentralized to the appropriate level of government, and seek to eliminate the potential for corruption.",25,Macroeconomic Foundation for Growth,76
14059924,422,LBN,Lebanon,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,8,Enterprises,Enterprises - United States,19,4001477,Education Development Center,1,Education,112,Basic Education,11220,Primary education,72x1037,Economic Support Fund,1,Economic,651909,Developing Rehabilitation Assistance to Schools and Teacher Improvement Program (D-RASATI),AID-268-A-00-10-00078,2010-09-30 00:00:00 UTC,2015-09-30 00:00:00 UTC,2,Obligations,2010,29034000,31981147,1,U.S. Agency for International Development,USAID,3,Project-Type,"D-RASATI (my studies in Arabic) will improve childrens learning environments by repairing and equipping schools, enhance the skills of Lebanons public school teachers through in-service training, engage Lebanese students in extracurricular activities, and stimulate increased involvement by communities and parents in local schools. D-RASATI will begin with a nationwide assessment of the needs of each public school, which will be incorporated into a comprehensive action plan. The program will also establish a monitoring and evaluation system to ensure high-quality performance.",20,Basic Education,76
14060272,422,LBN,Lebanon,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,3,NGO,NGO - United States,5,4000531,"World Learning, Inc.",1,Education,112,Basic Education,11220,Primary education,72x1037,Economic Support Fund,1,Economic,657448,Developing Rehabilitation Assistance to Schools and Teacher Improvement Program II (D-RASATI II),AID-268-TO-13-00004,2013-09-12 00:00:00 UTC,2015-09-15 00:00:00 UTC,2,Obligations,2013,24500000,25543629,1,U.S. Agency for International Development,USAID,3,Project-Type,"The Developing Rehabilitation Assistance to Schools and Teacher Improvement Program II (D-RASATI II) task order overarching goal is to support the Ministry of Education and Higher Education (MEHE) improve the performance of the Lebanese public school system. The D-RASATI II program addresses the underlying reasons hindering the delivery of high-quality education in par with the private school system. D-RASATI II has the specific objectives of enhancing the learning environments in public schools and of providing dynamic learning opportunities for school administrators and teachers, while increasing parent and community involvement in the public school system. Aside from training, D-RASATI IIs activities encompass the development of key strategy and guidance documents for the Ministry.",20,Basic Education,76
14060439,422,LBN,Lebanon,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,8,Enterprises,Enterprises - United States,19,4000670,"Development Alternatives, Inc.",2,Health and Population,140,Water Supply and Sanitation,14010,Water sector policy and administrative management,72x1037,Economic Support Fund,1,Economic,661133,Lebanon Water Project (LWP),AID-268-N-15-00001,2015-09-30 00:00:00 UTC,2020-09-29 00:00:00 UTC,2,Obligations,2017,22578400,22171366,1,U.S. Agency for International Development,USAID,3,Project-Type,"USAID will continue to support Lebanon's four Regional Water Establishments and the Litani River Authority through the Lebanon Water Project (LWP). The project will collaborate with municipalities, civil society, and the local private sector in addressing major sector concerns.LWP will result in reliable and sustainable access to potable water for Lebanese citizens, improve water, wastewater, and irrigation management practices, enhance the efficiency and sustainability of the public water utilities, and, whenever feasible, respond to water and wastewater issues arising from the influx of Syrian refugees. The project will promote better water and sanitation governance as a means to long-term water resource protection.",18,Water Supply and Sanitation,76
14060734,422,LBN,Lebanon,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,8,Enterprises,Enterprises - United States,19,4001477,Education Development Center,1,Education,112,Basic Education,11220,Primary education,72x1037,Economic Support Fund,1,Economic,651909,Developing Rehabilitation Assistance to Schools and Teacher Improvement Program (D-RASATI),AID-268-A-00-10-00078,2010-09-30 00:00:00 UTC,2015-09-30 00:00:00 UTC,2,Obligations,2012,20272000,21492459,1,U.S. Agency for International Development,USAID,3,Project-Type,"D-RASATI (my studies in Arabic) will improve childrens learning environments by repairing and equipping schools, enhance the skills of Lebanons public school teachers through in-service training, engage Lebanese students in extracurricular activities, and stimulate increased involvement by communities and parents in local schools. D-RASATI will begin with a nationwide assessment of the needs of each public school, which will be incorporated into a comprehensive action plan. The program will also establish a monitoring and evaluation system to ensure high-quality performance.",20,Basic Education,76
14061124,422,LBN,Lebanon,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,7,Multilateral,Multilateral - United Nations,12,4000421,United Nations Children's Fund,1,Education,112,Basic Education,11220,Primary education,72x1037,Economic Support Fund,1,Economic,665514,UNICEF Education Programme Pillar I Access,AID-268-IO-17-00001,,,2,Obligations,2017,18290894,17961154,1,U.S. Agency for International Development,USAID,3,Project-Type,"UNICEF Education Programme Pillar I, which addresses the need to increase access to quality public education for vulnerable children in Lebanon in partnership with the Ministry of Education and Higher Education (MEHE).",20,Basic Education,76
14061525,422,LBN,Lebanon,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,7,Multilateral,Multilateral - United Nations,12,4000421,United Nations Children's Fund,1,Education,112,Basic Education,11220,Primary education,72x1037,Economic Support Fund,1,Economic,663156,Public International Organization grant to UNICEF,AID-268-IO-16-00001,,,2,Obligations,2016,16361243,16361243,1,U.S. Agency for International Development,USAID,3,Project-Type,Public International Organization grant to UNICEF,20,Basic Education,76
14061685,422,LBN,Lebanon,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,3,NGO,NGO - United States,5,4000531,"World Learning, Inc.",1,Education,112,Basic Education,11220,Primary education,72x1037,Economic Support Fund,1,Economic,659996,Quality Instruction Toward Access and Basic Education Improvement (QITABI),AID-268-A-14-00003,2014-09-30 00:00:00 UTC,2018-09-29 00:00:00 UTC,2,Obligations,2014,15709119,16084007,1,U.S. Agency for International Development,USAID,3,Project-Type,"This activity will support Lebanon's public education system through the QITABI (My Book in Arabic) project, which improves Arabic reading skills, increases access to education for vulnerable students, and helps the Ministry of Education and Higher Education (MEHE) sustain reforms. This year, USAID will roll out Early Grade Reading Assessment results, training, coaching, distribution of books and educational materials and technology, policy workshops, teacher surveys, and classroom observations that support reading instruction in 260 public schools. USAID will also improve access to quality education in 300 schools through transportation assistance and technology resource rooms. Finally, USAID will support MEHE to develop policies and guidelines that support reading and access. The assistance helps MEHE promote early grade reading, support access and better manage overall primary education services for vulnerable children in Lebanon.",20,Basic Education,76
14061899,422,LBN,Lebanon,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - United States,1,1000014,U.S. Government - Department of the Army,9,Humanitarian,720,Emergency Response,72010,Material relief assistance and services,72x1037,Economic Support Fund,1,Economic,641650,Crisis Assistance and Recovery,5.1.2,,,2,Obligations,2007,15000000,17211896,1,U.S. Agency for International Development,USAID,3,Project-Type,"Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integrated, coordinated and/or multi-sectoral approach.",37,"Protection, Assistance and Solutions",76
