fiscal_year,category,current_amount
1988,Economic,1655000
1988,Military,0
1988,Total,1655000
1989,Economic,2106000
1989,Military,0
1989,Total,2106000
1990,Economic,2239000
1990,Military,0
1990,Total,2239000
1991,Economic,2258000
1991,Military,0
1991,Total,2258000
1992,Economic,7419100
1992,Military,0
1992,Total,7419100
1993,Economic,31293760
1993,Military,0
1993,Total,31293760
1994,Economic,58437258
1994,Military,0
1994,Total,58437258
1995,Economic,81486661
1995,Military,0
1995,Total,81486661
1996,Economic,64010502
1996,Military,0
1996,Total,64010502
1997,Economic,67415435
1997,Military,0
1997,Total,67415435
1998,Economic,61088485
1998,Military,0
1998,Total,61088485
1999,Economic,80044799
1999,Military,0
1999,Total,80044799
2000,Economic,122032001
2000,Military,0
2000,Total,122032001
2001,Economic,238564190
2001,Military,0
2001,Total,238564190
2002,Economic,214739078
2002,Military,0
2002,Total,214739078
2003,Economic,188415363
2003,Military,0
2003,Total,188415363
2004,Economic,132890591
2004,Military,0
2004,Total,132890591
2005,Economic,346988581
2005,Military,0
2005,Total,346988581
2006,Economic,85479895
2006,Military,0
2006,Total,85479895
2007,Economic,144403303
2007,Military,0
2007,Total,144403303
2008,Economic,511688982
2008,Military,0
2008,Total,511688982
2009,Economic,1040933293
2009,Military,0
2009,Total,1040933293
2010,Economic,686897877
2010,Military,0
2010,Total,686897877
2011,Economic,461131168
2011,Military,204958
2011,Total,461336126
2012,Economic,472118730
2012,Military,157350
2012,Total,472276080
2013,Economic,1007739573
2013,Military,115300
2013,Total,1007854873
2014,Economic,497148609
2014,Military,117338
2014,Total,497265947
2015,Economic,556642664
2015,Military,163614
2015,Total,556806278
