id,country_id,country_code,country_name,region_id,region_name,income_group_id,income_group_name,income_group_acronym,implementing_agency_id,implementing_agency_acronym,implementing_agency_name,implementing_subagency_id,subagency_acronym,subagency_name,channel_category_id,channel_category_name,channel_subcategory_name,channel_subcategory_id,channel_id,channel_name,dac_category_id,dac_category_name,dac_sector_code,dac_sector_name,dac_purpose_code,dac_purpose_name,funding_account_id,funding_account_name,assistance_category_id,assistance_category_name,activity_id,activity_name,activity_project_number,activity_start_date,activity_end_date,transaction_type_id,transaction_type_name,fiscal_year,current_amount,constant_amount,funding_agency_id,funding_agency_name,funding_agency_acronym,aid_type_group_id,aid_type_group_name,activity_description,USG_sector_id,USG_sector_name,submission_id
14058629,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,650706,Private Sector Debt Payments,294-CT-00-09-00002-00,2009-07-15 00:00:00 UTC,2009-09-30 00:00:00 UTC,2,Obligations,2009,200000000,222240000,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14058631,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,658236,Private Sector Debt Payments,294-CT-00-13-00001,2013-02-19 00:00:00 UTC,2013-06-18 00:00:00 UTC,2,Obligations,2013,200000000,208519422,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14058704,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,648036,Private Sector Debt Payments,294-CT-00-09-00001-00,2008-10-10 00:00:00 UTC,2009-02-09 00:00:00 UTC,2,Obligations,2009,150000000,166680000,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14058707,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,648035,Private Sector Debt Payments,294-CT-00-08-00001-00,2008-03-19 00:00:00 UTC,2008-07-18 00:00:00 UTC,2,Obligations,2008,150000000,168619120,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14058708,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,652664,Private Sector Debt Payments,294-CT-00-11-00001,2010-10-25 00:00:00 UTC,2011-02-22 00:00:00 UTC,2,Obligations,2011,150000000,161935296,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14058717,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,658237,Private Sector Debt Payments,294-CT-00-13-00002,2013-08-13 00:00:00 UTC,2013-12-12 00:00:00 UTC,2,Obligations,2013,148000000,154304372,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14058816,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,659889,Private Sector Debt Payments,294-CT-00-15-00001-00,2014-11-05 00:00:00 UTC,2015-03-05 00:00:00 UTC,2,Obligations,2015,100000000,101192970,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14058950,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,652663,Private Sector Debt Payments,294-CT-00-10-00002-00,2010-04-24 00:00:00 UTC,2010-08-21 00:00:00 UTC,2,Obligations,2010,75000000,82613006,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14058951,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,650707,Private Sector Debt Payments,294-CT-00-10-00001-00,2009-12-08 00:00:00 UTC,2010-09-30 00:00:00 UTC,2,Obligations,2010,75000000,82613006,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14059000,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,664931,Private Sector Debt Payments,294-CT-00-17-00001-00,,,2,Obligations,2017,70000000,68738070,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14059258,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,7,Other,510,General Budget Support,51010,General budget support-related aid,72x1037,Economic Support Fund,1,Economic,633472,Cash Transfer to PA,294-014,,,2,Obligations,2005,50000000,60847662,1,U.S. Agency for International Development,USAID,3,Project-Type,Cash Transfer to PA,8,Good Governance,76
14059260,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,654356,Private Sector Debt Payments,294-CT-00-11-00002-00,2011-09-09 00:00:00 UTC,2012-01-07 00:00:00 UTC,2,Obligations,2011,50000000,53978432,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14059308,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,3,NGO,NGO - International,6,4000268,International Relief and Development,4,Infrastructure,210,Transport and Storage,21010,Transport policy and administrative management,72x1037,Economic Support Fund,1,Economic,645399,Transport Services,4.4.3,,,2,Obligations,2009,47705688,53010560,1,U.S. Agency for International Development,USAID,3,Project-Type,Support and strengthen reliable and affordable transport systems.,28,Infrastructure,76
14059314,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,7,Multilateral,Multilateral - United Nations,12,4000501,World Food Program,9,Humanitarian,720,Emergency Response,72010,Material relief assistance and services,72x1037,Economic Support Fund,1,Economic,645493,USAID grant to World Food Programme (WFP) Palestine,294-A-00-07-00206,2009-09-17 00:00:00 UTC,2013-06-30 00:00:00 UTC,2,Obligations,2009,47300000,52559760,1,U.S. Agency for International Development,USAID,2,Core contributions,"The original grant was meant to support WFP food for work (FFW), food for training (FFT), life skills (LS) and assistance to vulnerable groups (AVG) projects in the West Bank and Gaza Strip. However, starting September 2008, beneficiaries under the FFW and FFT programmes were shifted to the Assistance to Vulnerable Groups programme.",37,"Protection, Assistance and Solutions",76
14059466,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,662968,Private Sector Debt Payments,294-CT-00-16-00002,,,2,Obligations,2016,40000000,40000000,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14059619,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,1,Government,Government - Non United States,2,2000153,Government of West Bank/Gaza,3,Governance,160,Other Social Infrastructure and Services,16010,Social/ welfare services,72x1037,Economic Support Fund,1,Economic,662967,Private Sector Debt Payments,294-CT-00-16-00001,,,2,Obligations,2016,35000000,35000000,1,U.S. Agency for International Development,USAID,3,Project-Type,Private Sector Debt Payments,24,Social Assistance,76
14059640,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,8,Enterprises,Enterprises - United States,19,4009149,"Morganti Group, Inc.",2,Health and Population,140,Water Supply and Sanitation,14021,Water supply - large systems,72x1037,Economic Support Fund,1,Economic,634424,Gaza Water Carrier,294-014,,,2,Obligations,2005,34456644,41932124,1,U.S. Agency for International Development,USAID,3,Project-Type,Gaza Water Carrier,18,Water Supply and Sanitation,76
14059813,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,3,NGO,NGO - United States,5,4000317,Mercy Corps,9,Humanitarian,720,Emergency Response,72010,Material relief assistance and services,72x1037,Economic Support Fund,1,Economic,652606,Palestinian Community Assistance Program (PCAP),AID-294-A-00-10-00210,2010-09-30 00:00:00 UTC,2015-09-30 00:00:00 UTC,2,Obligations,2010,30800000,33926408,1,U.S. Agency for International Development,USAID,3,Project-Type,The purpose of this Agreement is to pave the way to a brighter future for Palestinians through social and economic relief and recovery by meeting basic human needs and laying the foundations for long-term recovery in Gaza,37,"Protection, Assistance and Solutions",76
14059843,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,8,Enterprises,Enterprises - United States,19,4001873,APCO/ArCon Construction and Services,4,Infrastructure,210,Transport and Storage,21010,Transport policy and administrative management,72x1037,Economic Support Fund,1,Economic,648806,Transport Services,4.4.3,,,2,Obligations,2009,30247914,33611482,1,U.S. Agency for International Development,USAID,3,Project-Type,Support and strengthen reliable and affordable transport systems.,28,Infrastructure,76
14059894,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,3,NGO,NGO - International,6,4000268,International Relief and Development,4,Infrastructure,210,Transport and Storage,21010,Transport policy and administrative management,72x1037,Economic Support Fund,1,Economic,645399,Transport Services,4.4.3,,,2,Obligations,2010,29602245,32607073,1,U.S. Agency for International Development,USAID,3,Project-Type,Support and strengthen reliable and affordable transport systems.,28,Infrastructure,76
14060018,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,7,Multilateral,Multilateral - United Nations,12,4000501,World Food Program,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,72x1037,Economic Support Fund,1,Economic,634984,Improved Performance in Health System,294-012,,,2,Obligations,2006,27410000,32305889,1,U.S. Agency for International Development,USAID,3,Project-Type,Improved Performance in Health System,15,Other Public Health Threats,76
14060044,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,28,ME,Bureau for Middle East,8,Enterprises,Enterprises - United States,19,4009149,"Morganti Group, Inc.",2,Health and Population,140,Water Supply and Sanitation,14010,Water sector policy and administrative management,72x1037,Economic Support Fund,1,Economic,636482,Support to Gaza Water Projects,294-014,,,2,Obligations,2005,27043296,32910427,1,U.S. Agency for International Development,USAID,3,Project-Type,Support to Gaza Water Projects,18,Water Supply and Sanitation,76
